0, 1, 2
0, 2, 2
0, 3, 7
0, 4, 6
0, 5, 3
0, 6, 4
0, 7, 1
0, 8, 6
0, 9, 5
0, 10, 3
0, 11, 5
0, 12, 4
0, 13, 1
0, 14, 9
0, 15, 1
0, 16, 7
0, 17, 1
0, 18, 2
0, 19, 3
0, 20, 10
0, 21, 6
0, 22, 6
0, 23, 4
0, 24, 8
0, 25, 4
0, 26, 9
0, 27, 2
0, 28, 1
0, 29, 9
0, 30, 4
0, 31, 1
0, 32, 7
0, 33, 6
0, 34, 4
0, 35, 4
0, 36, 3
0, 37, 8
0, 38, 7
0, 39, 2
0, 40, 7
0, 41, 10
0, 42, 7
0, 43, 8
0, 44, 3
0, 45, 7
0, 46, 4
0, 47, 6
0, 48, 6
0, 49, 8
0, 50, 2
0, 51, 2
0, 52, 2
0, 53, 1
0, 54, 10
0, 55, 10
0, 56, 3
0, 57, 3
0, 58, 9
0, 59, 8
0, 60, 7
0, 61, 1
0, 62, 10
0, 63, 1
0, 64, 5
0, 65, 8
0, 66, 6
0, 67, 8
0, 68, 1
0, 69, 1
0, 70, 1
0, 71, 2
0, 72, 10
0, 73, 5
0, 74, 6
0, 75, 4
0, 76, 6
0, 77, 2
0, 78, 5
0, 79, 2
0, 80, 7
0, 81, 6
0, 82, 10
0, 83, 3
0, 84, 1
0, 85, 9
0, 86, 3
0, 87, 10
0, 88, 8
0, 89, 1
0, 90, 4
0, 91, 5
0, 92, 9
0, 93, 1
0, 94, 8
0, 95, 3
0, 96, 9
0, 97, 7
0, 98, 2
0, 99, 8
1, 2, 8
1, 3, 3
1, 4, 5
1, 5, 3
1, 6, 4
1, 7, 1
1, 8, 8
1, 9, 7
1, 10, 1
1, 11, 6
1, 12, 5
1, 13, 2
1, 14, 5
1, 15, 1
1, 16, 2
1, 17, 4
1, 18, 6
1, 19, 4
1, 20, 1
1, 21, 6
1, 22, 10
1, 23, 5
1, 24, 2
1, 25, 4
1, 26, 3
1, 27, 1
1, 28, 9
1, 29, 1
1, 30, 2
1, 31, 9
1, 32, 2
1, 33, 5
1, 34, 6
1, 35, 8
1, 36, 4
1, 37, 3
1, 38, 9
1, 39, 10
1, 40, 1
1, 41, 1
1, 42, 1
1, 43, 4
1, 44, 7
1, 45, 7
1, 46, 7
1, 47, 10
1, 48, 1
1, 49, 5
1, 50, 2
1, 51, 4
1, 52, 7
1, 53, 3
1, 54, 4
1, 55, 3
1, 56, 4
1, 57, 10
1, 58, 2
1, 59, 4
1, 60, 4
1, 61, 5
1, 62, 1
1, 63, 10
1, 64, 8
1, 65, 9
1, 66, 2
1, 67, 9
1, 68, 10
1, 69, 1
1, 70, 1
1, 71, 2
1, 72, 5
1, 73, 4
1, 74, 9
1, 75, 7
1, 76, 5
1, 77, 9
1, 78, 9
1, 79, 1
1, 80, 9
1, 81, 9
1, 82, 5
1, 83, 4
1, 84, 7
1, 85, 2
1, 86, 10
1, 87, 6
1, 88, 4
1, 89, 8
1, 90, 4
1, 91, 9
1, 92, 3
1, 93, 9
1, 94, 10
1, 95, 8
1, 96, 9
1, 97, 8
1, 98, 2
1, 99, 5
2, 3, 4
2, 4, 7
2, 5, 4
2, 6, 7
2, 7, 9
2, 8, 5
2, 9, 5
2, 10, 1
2, 11, 3
2, 12, 4
2, 13, 9
2, 14, 7
2, 15, 5
2, 16, 2
2, 17, 9
2, 18, 8
2, 19, 4
2, 20, 9
2, 21, 6
2, 22, 6
2, 23, 8
2, 24, 8
2, 25, 7
2, 26, 2
2, 27, 4
2, 28, 9
2, 29, 3
2, 30, 1
2, 31, 9
2, 32, 8
2, 33, 7
2, 34, 3
2, 35, 6
2, 36, 5
2, 37, 6
2, 38, 7
2, 39, 1
2, 40, 5
2, 41, 1
2, 42, 10
2, 43, 7
2, 44, 10
2, 45, 10
2, 46, 4
2, 47, 5
2, 48, 8
2, 49, 9
2, 50, 3
2, 51, 10
2, 52, 2
2, 53, 7
2, 54, 10
2, 55, 10
2, 56, 1
2, 57, 10
2, 58, 2
2, 59, 10
2, 60, 7
2, 61, 3
2, 62, 7
2, 63, 9
2, 64, 6
2, 65, 1
2, 66, 7
2, 67, 2
2, 68, 3
2, 69, 5
2, 70, 8
2, 71, 2
2, 72, 6
2, 73, 4
2, 74, 9
2, 75, 4
2, 76, 7
2, 77, 3
2, 78, 3
2, 79, 3
2, 80, 7
2, 81, 9
2, 82, 4
2, 83, 10
2, 84, 2
2, 85, 10
2, 86, 4
2, 87, 5
2, 88, 9
2, 89, 1
2, 90, 7
2, 91, 2
2, 92, 10
2, 93, 4
2, 94, 4
2, 95, 3
2, 96, 8
2, 97, 10
2, 98, 10
2, 99, 4
3, 4, 7
3, 5, 10
3, 6, 2
3, 7, 5
3, 8, 8
